Name,Position X,Position Y,Position Z
Point01,-12.596687,206.843517,-1.375876
Point02,-22.207573,190.197566,-2.26861
Point03,-27.610862,171.050032,-3.06051
Point04,-32.962049,151.955779,-4.16871
Point05,-36.990947,132.578491,-5.641813
Point06,-40.184824,113.051341,-5.719293
Point07,-43.313694,93.63808,-5.213824
Point08,-45.780731,73.992553,-4.511942
Point09,-46.868517,54.109307,-3.367153
Point10,-47.45545,34.246743,-2.860421
Point11,-47.466659,14.530117,-2.286725
Point12,-47.934222,-5.249479,-2.099318
Point13,-47.699953,-25.178046,-0.976319
Point14,-47.557246,-45.082727,0.041081
Point15,-46.707888,-64.670718,1.017453
Point16,-45.881354,-84.314735,1.280795
Point17,-44.936968,-104.037674,2.007351
Point18,-44.672758,-123.971207,2.277806
Point19,-43.358954,-143.579194,2.150894
Point20,-42.641272,-163.230364,1.758846
Point21,-41.548371,-183.119788,1.977398
Point22,-38.558364,-202.439911,2.864584
Point23,-32.81728,-202.824209,2.674474
Point24,-26.925188,-202.311514,1.973231
Point25,-20.992141,-201.720048,1.736707
Point26,-15.038112,-201.195341,1.749245
Point27,-9.100271,-200.512891,1.516065
Point28,-3.128066,-200.355147,1.215578
Point29,3.441972,-200.734457,1.151571
Point30,9.867342,-201.581131,0.553704
Point31,16.429042,-201.914912,1.019955
Point32,22.71875,-203.203455,1.340762
Point33,29.068989,-204.553271,2.174607
Point34,35.573502,-204.631148,2.117389
Point35,39.247771,-185.000202,2.174345
Point36,39.941558,-164.895292,2.759515
Point37,40.810947,-144.690204,2.158452
Point38,40.708485,-124.787278,1.863762
Point39,40.869236,-105.027138,1.879276
Point40,40.924,-84.992087,1.492062
Point41,40.861493,-65.274135,1.033567
Point42,39.999188,-45.167122,0.144444
Point43,38.785505,-25.032586,-0.110109
Point44,37.856651,-4.96617,-0.343825
Point45,35.641558,15.084816,0.314008
Point46,33.699749,35.098521,-0.950818
Point47,31.807507,54.754642,-1.384949
Point48,30.08762,74.854648,-2.079526
Point49,26.407133,94.634233,-2.206166
Point50,23.101891,114.414668,-2.353788
Point51,18.535271,134.034028,-2.550003
Point52,12.010046,153.185642,-2.177728
Point53,6.017786,172.259229,-0.716043
Point54,-2.493684,190.177663,-0.85351
