specimen,Type,trinomial,sitename,context,group
3Bb1,Gahagan,16CD12,Mounds Plantation,individual,second
3Ba90,Gahagan,16CD12,Mounds Plantation,individual,second
3Bb3,Gahagan,16CD12,Mounds Plantation,individual,second
3Bb4,Gahagan,16CD12,Mounds Plantation,individual,second
3Bb5,Gahagan,16CD12,Mounds Plantation,individual,second
3Bb6,Gahagan,16CD12,Mounds Plantation,individual,second
3Bb7,Gahagan,16CD12,Mounds Plantation,individual,second
3Bb8,Gahagan,16CD12,Mounds Plantation,individual,second
BlkThn,Gahagan,16CD12,Mounds Plantation,individual,second
LGGray,Gahagan,16CD12,Mounds Plantation,individual,second
Case2LG,Gahagan,16CD12,Mounds Plantation,individual,second
Case2SM,Gahagan,16CD12,Mounds Plantation,individual,second
666,Gahagan,16RR1,Gahagan Mound,cache,first
551,Gahagan,16RR1,Gahagan Mound,cache,first
622,Gahagan,16RR1,Gahagan Mound,cache,first
614,Gahagan,16RR1,Gahagan Mound,cache,first
613,Gahagan,16RR1,Gahagan Mound,cache,first
612,Gahagan,16RR1,Gahagan Mound,cache,first
611,Gahagan,16RR1,Gahagan Mound,cache,first
610,Gahagan,16RR1,Gahagan Mound,cache,first
609,Gahagan,16RR1,Gahagan Mound,cache,first
608,Gahagan,16RR1,Gahagan Mound,cache,first
607,Gahagan,16RR1,Gahagan Mound,cache,first
606,Gahagan,16RR1,Gahagan Mound,cache,first
605,Gahagan,16RR1,Gahagan Mound,cache,first
593,Gahagan,16RR1,Gahagan Mound,individual,second
569,Gahagan,16RR1,Gahagan Mound,individual,second
550,Gahagan,16RR1,Gahagan Mound,cache,first
549,Gahagan,16RR1,Gahagan Mound,cache,first
548,Gahagan,16RR1,Gahagan Mound,cache,first
547,Gahagan,16RR1,Gahagan Mound,cache,first
546,Gahagan,16RR1,Gahagan Mound,cache,first
545,Gahagan,16RR1,Gahagan Mound,cache,first
544,Gahagan,16RR1,Gahagan Mound,cache,first
543,Gahagan,16RR1,Gahagan Mound,cache,first
542,Gahagan,16RR1,Gahagan Mound,cache,first
541,Gahagan,16RR1,Gahagan Mound,cache,first
533,Gahagan,16RR1,Gahagan Mound,cache,first
532,Gahagan,16RR1,Gahagan Mound,cache,first
490,Gahagan,16RR1,Gahagan Mound,cache,first
489,Gahagan,16RR1,Gahagan Mound,cache,first
4078-9,Gahagan,41CE19,George C Davis,cache,first
424-39,Gahagan,41CE19,George C Davis,cache,first
424-40,Gahagan,41CE19,George C Davis,cache,first
424-41,Gahagan,41CE19,George C Davis,cache,first
424-50,Gahagan,41CE19,George C Davis,cache,first
424-53,Gahagan,41CE19,George C Davis,cache,first
463-16,Gahagan,41CE19,George C Davis,cache,first
4078-22,Gahagan,41CE19,George C Davis,cache,first
4078-32,Gahagan,41CE19,George C Davis,cache,first
4078-45,Gahagan,41CE19,George C Davis,cache,first
4078-72,Gahagan,41CE19,George C Davis,cache,first
424-169,Gahagan,41CE19,George C Davis,cache,first
424-218,Gahagan,41CE19,George C Davis,cache,first
424-221,Gahagan,41CE19,George C Davis,cache,first
424-230,Gahagan,41CE19,George C Davis,cache,first
424-33,Gahagan,41CE19,George C Davis,cache,first
463-1,Gahagan,41CE19,George C Davis,cache,first
463-23,Gahagan,41CE19,George C Davis,cache,first
4078-8,Gahagan,41CE19,George C Davis,cache,first
4078-11,Gahagan,41CE19,George C Davis,cache,first
4078-12,Gahagan,41CE19,George C Davis,cache,first
4078-13,Gahagan,41CE19,George C Davis,cache,first
4078-14,Gahagan,41CE19,George C Davis,cache,first
4078-14B,Gahagan,41CE19,George C Davis,cache,first
4078-30,Gahagan,41CE19,George C Davis,cache,first
ET221-993,Gahagan,41CE19,George C Davis,cache,first
ET221-1016,Gahagan,41CE19,George C Davis,cache,first
ET221-1260A,Gahagan,41CE19,George C Davis,cache,first
2300,Gahagan,bvmnh,Doerge Collection,ctx,third
2302,Gahagan,bvmnh,Doerge Collection,ctx,third
2303,Gahagan,bvmnh,Doerge Collection,ctx,third
2304,Gahagan,bvmnh,Doerge Collection,ctx,third
2305,Gahagan,bvmnh,Doerge Collection,ctx,third
2317,Gahagan,bvmnh,Doerge Collection,ctx,third
2318,Gahagan,bvmnh,Doerge Collection,ctx,third
2319,Gahagan,bvmnh,Doerge Collection,ctx,third
2320,Gahagan,bvmnh,Doerge Collection,ctx,third
2322,Gahagan,bvmnh,Doerge Collection,ctx,third
2323,Gahagan,bvmnh,Doerge Collection,ctx,third
2324,Gahagan,bvmnh,Doerge Collection,ctx,third
2325,Gahagan,bvmnh,Doerge Collection,ctx,third
2361,Gahagan,bvmnh,Doerge Collection,ctx,third
2362,Gahagan,bvmnh,Doerge Collection,ctx,third
2363,Gahagan,bvmnh,Doerge Collection,ctx,third
